Name,Air Date,Description,Rating,Votes
S1.E37 ∙ Dai ni shiken toppa! Seizoroi rûkî nainu!,"Wed, Jun 11, 2003","Team 7 recovers their final scroll and completes the second Chûnin exam. However, a preliminary exam to the third Chûnin exam must be held to weed out the best Genins.",6.9,(967)
S1.E38 ∙ Gôkaku-sha nibun no ichi!? Ikinari shiai dattebayo!!,"Wed, Jun 18, 2003",Kabuto is secretly revealed to be a traitor to Konoha and Sasuke starts his match against Yoroi Akado.,7.3,(960)
"S1.E39 ∙ Geji mayu jerashî! ""Shishi rendan"" tanjô!","Wed, Jul 2, 2003",Sasuke continues his fight against Yoroi Akado despite the pain from his Cursed Seal. Kakashi decides to help Sasuke after the battle by sealing the Cursed Seal.,7.9,(1K)
S1.E40 ∙ Isshoku sokuhatsu!! Kakashi VS Orochimaru,"Wed, Jul 9, 2003","Kakashi performs the sealing ritual on Sasuke, while the fight between Zaku Abumi and Shino Aburame commences.",7.5,(977)
S1.E41 ∙ Raibaru gekitotsu! Otome kokoro wa honki môdo,"Wed, Jul 16, 2003",Misumi Tsurugi fights Kankuro and Sakura and Ino Yamanaka finally are forced to battle each other.,6.7,(1K)
S1.E42 ∙ Besuto batoru wa Shânnarô!!,"Wed, Jul 23, 2003",The battle between Sakura and Ino intensifies as friendships and hardships between the two are revealed.,6.9,(1K)
S1.E43 ∙ Shikamaru tajitaji!? Kunoichi-tachi no atsuki tatakai,"Wed, Jul 30, 2003",The third preliminary exam continues with Temari fighting Tenten and Shikamaru Nara battling Kin Tsuchi.,7.5,(965)
S1.E44 ∙ Akamaru sansen!! Makeinu wa dotchi da?,"Wed, Aug 6, 2003",Naruto finally gets his chance to fight against Team 8's Kiba Inuzuka.,7.7,(997)
"S1.E45 ∙ Hinata sekimen! Kankyaku anguri, Naruto no okunote","Wed, Aug 13, 2003","Naruto's fight against Kiba draws to a climax and Naruto's newest ""techinque"" is introduced.",7.9,(1K)
S1.E46 ∙ Byakugan kaigan!! Uchiki na Hinata no daitan ketsui!,"Wed, Aug 20, 2003",Neji Hyuga and Hinata Hyuga fight to defend the honor of themselves and of their families.,7.7,(1K)
S1.E47 ∙ Akogare no hito no me no maede!!,"Wed, Aug 27, 2003",Hinata decides to prove her worth against Neji as the battle between the two draws to a close.,8.1,(1.1K)
S1.E48 ∙ Gaara funsai!! Wakasa da! Pawâ da! Bakuhatsu da!,"Wed, Sep 3, 2003",The youthful Rock Lee clashes against the powerful and deadly Gaara of the Sand.,9.2,(2.5K)
"S1.E49 ∙ Nekketsu ochikobore! Tsuini sakuretsu, kindan no ôgi!","Wed, Sep 10, 2003","Rock Lee keeps fighting against the ferocious Gaara. Lee is weakened due to the use of his technique, Omote Renge, but his will is strong. In order to defeat Gaara, Lee would open the first gates, to be able to use a forbidden technique.",8.9,(1.6K)
S1.E50 ∙ Aa Rokku Rî! Kore ga otoko no ikizama yo!!,"Wed, Sep 17, 2003","Lee finally reveals his trump card, the power of the Eight Gates, while Gaara prepares for a bloody showdown.",9.2,(2K)
S1.E51 ∙ Yami ni ugomeku kage Sasuke ni semaru kiki!,"Wed, Sep 24, 2003",Choji Akimichi versus Dosu Kinuta in the final match of the third preliminary exam. Naruto learns he is getting a new trainer to prepare for the third Chuunin Exam.,7.2,(943)
S1.E52 ∙ Ebisu futatabi! Harenchi wa watashi ga yurushimasen zo!,"Wed, Oct 1, 2003","Naruto, in preparation for the third Chuunin Exam, begins his training with Ebisu, with some unexpected consequences.",6.9,(942)
S1.E53 ∙ Aiya shibaraku! Ero-Sen'nin tôjô!,"Wed, Oct 8, 2003","While Ebisu trains Naruto on how to walk on water in a hot spring, he spies somebody trying to peep on women in a hot spring. Ebisu attacks him, only to be defeated quickly. Since Naruto's teacher has been knocked out, Naruto demands that the stranger become his teacher instead, but he has other plans. Naruto's Sexy Jutsu may be just the thing to get this pervert's attention.",7.4,(969)
S1.E54 ∙ Ero-Sen'nin jikiden kuchiyose no jutsu dattebayo!!,"Wed, Oct 15, 2003","While Jiraiya attempts to teach Naruto the Summoning Jutsu, while doing research as well, Dosu learns the hard way why Gaara is so dangerous. Meanwhile, Baki and Kabuto secretly meet and reveal a sinister plot against Konoha. When Hayate discovers this dark secret, he attempts to warn the Hokage. However, he'll have to get through Baki first!",7.4,(919)
S1.E55 ∙ Setsunai omoi negai o kometa ichirin,"Wed, Oct 22, 2003","Naruto keeps training on his 'kuchiyose no jutsu' skills, with little improvement, while Jiraiya-sensei prefers to focus his attention on 'researching for his next book', sneaking, looking the young women. In a meeting with the Hokage, it is told about the murder of Hayate Gekkô, the possible implication of Orochimaru and the Otogakure, but the Third Hokage decide to keep running the Chûnin Exams. Sakura is worry about Sasuke-kun and the 'Ten no Juin' Orochimaru left him. She tries again to visit him at the hospital, but first she stops at the Yamanaka flower shop. There she meet Ino who, of course decide to join Sakura in her visit to Sasuke. Sakura picks two flowers, one for Sasuke-kun and one for Lee. At the hospital, the girls discovers that Sasuke is gone. No one knew that he left. In Lee's room, there's no one neither.",7.1,(907)
S1.E56 ∙ Sei ka shi ka!? Menkyo kaiden wa inochi gake!,"Wed, Oct 29, 2003",Naruto finally learns how to summon the frog and release the power of the nine tails.,7.7,(962)
S1.E57 ∙ Tonda! Haneta! Mogutta! Gama oyabun tôjô!!,"Wed, Nov 5, 2003",Naruto aims to prove to the frog boss that hed has summoned him. The sand villages' true motives become clearer.,7.6,(930)
S1.E58 ∙ Shinobi yoru ma no te! Nerawareta byôshitsu,"Wed, Nov 12, 2003","Naruto wakes up in the hospital, after three days of recovering. He meets Shikamaru there, who went visit Chôji. Meanwhile, Sakura goes to visit Lee, and notices there's no one in the hospital reception. She feels something strange after changing Lee's flowers, but she sees nothing, so she leaves to visit Naruto. But the awkward presence is still there, and is a real danger: Gaara.",7.6,(927)
S1.E59 ∙ Môretsu môtsui môdasshu honsen kaishi dattebayo,"Wed, Nov 19, 2003","The Second Part of the Chûnin Exams is about to begin. As every Genin who passed the first test is getting ready, Naruto feels really nervous. He meets Hinata who, timidly, wishes him the best. Naruto feels better, but as he get closer to the Arena, he finds some trouble to get on time.",6.9,(909)
S1.E60 ∙ Byakugan vs Kage bunshin! Ore wa zettê katsu!!,"Wed, Nov 26, 2003","Everyone is ready for the final part of the Chûnin Exams. Sasuke and Dosu hasn't arrived yet, so the referee, Jônin Genma Shiranui explains that if they don't arrive in time for their matches, they will be disqualified. This worries Sakura. First match is Naruto Uzumaki vs Neji Hyûga. Most audience members are betting for Neji, but Sakura and Hinata have faith in Naruto. Could the orphan boy, despised by most, defeat the talented and well trained member of the Hyûga Clan?",7.6,(947)
S1.E61 ∙ Shikaku zero! Mouhitotsu no zettai bougyo,"Wed, Dec 3, 2003","Naruto begins his assault with his Shadow Clones but Neji analyzes Naruto's actions and determines the real one. Unable to figure out why Naruto won't admit his defeat, he takes off his headband and reveal a mysterious mark on his forehead. Neji reveals the truth about his hatred towards the main family of the Hyuga Clan.",7.9,(982)
S1.E62 ∙ Ochikobore no sokojikara!,"Wed, Dec 10, 2003",Naruto and Neji's battle continues with Neji showing enormous power.,8.7,(1.3K)
S1.E63 ∙ Shikkaku!? Kiken! Maedaoshi! Haran bukumi no daihonsen!,"Wed, Dec 17, 2003",Neiji is visited at the hospital by his uncle Hiashi to tell the truth about his father death.,7.3,(917)
S1.E64 ∙ Kumo wa ii naa... yaruki zero no otoko,"Wed, Dec 24, 2003",Shikamaru fights to Temari on final part of the Chûnin Exams. Shikamaru personality is explained. This is a battle of strategy more than power.,8.2,(1K)
S1.E65 ∙ Gekitotsu! Konoha mai suna ugomeku toki,"Wed, Dec 31, 2003","With Sasuke and Gaara's match needing to start, the Third Hokage (Hiruzen Sarutobi) sets a time limit for Sasuke to arrive. Sasuke arrives at the last minute with Kakashi Hatake.",7.1,(890)
"S1.E66 ∙ ""1 jikan buchi nuki de Sasuke ga ô abare dattebayo supesharu"": Arashi o yobu otoko!! Sasuke no gejimayu-ryû taijutsu!","Wed, Jan 14, 2004",Sasuke and Kakashi has finally arrived. Now it is time for the match between Sasuke and Gaara.,7.9,(978)
"S1.E67 ∙ ""1 jikan buchi nuki de Sasuke ga ô abare dattebayo supesharu"": Date ni okureta wake janai! Kyûkyoku ôgi - Chidori tanjô!!","Wed, Jan 14, 2004","Sasuke's enhanced speed and taijutsu skills enable him to bypass Gaara's sand-based defenses with ease, as Rock Lee did previously. Determined to kill Sasuke, Gaara retreats inside a sphere of sand and begins to transform.",8.3,(1K)
"S1.E68 ∙ ""Konoha kuzushi"" shidô!","Wed, Jan 28, 2004","Orochimaru takes Hiruzen hostage as he has his personal bodyguards, the Sound Four, establish a barrier to so no one would interfere. Kankuro and Temari carry Gaara from the village so that he can recover with Sasuke in pursuit.",8.1,(955)
S1.E69 ∙ Matte mashita! A ranku ninmu dattebayo!!,"Wed, Feb 4, 2004","Kakashi instructs Sakura to wake Naruto and Shikamaru, and send them to an A-Rank mission: alongside ninja dog Pakkun, they must trace Sasuke to aid him in his fight against the Suna siblings. Meanwhile, Orochimaru begin his battle against his former sensei, Sandaime Hokage Sarutobi.",7.9,(927)
S1.E70 ∙ Nigegoshi No.1 Mendokuse~ ga yarukkya nê!!,"Wed, Feb 11, 2004","Pakkun informs Sakura, Naruto and Shikamaru that they are being followed by 9 Otogakure shinobi. Thinking about a strategy to delay the enemy, Shikamaru offers himself as bait.",7.8,(905)
"S1.E71 ∙ Kokon musô! ""Hokage"" toiu reberu no tatakai","Wed, Feb 18, 2004",Orochimaru uses Edo Tensei and the fight between Shodai Hokage and Nidaime Hokage against Sandaime Hokage Sarutobi begins. Orochimaru reveals some of his true intentions.,8.4,(1K)
S1.E72 ∙ Hokage no ayamachi Kamen ni shita no sugao,"Wed, Feb 25, 2004","Sasuke catches up with the Suna siblings and Temari battles him, so Kankurô can take Gaara to recover. Meanwhile, Sandaime Hokage Sarutobi remembers the past and is finally ready to defeat Orochimaru.",8.2,(976)
"S1.E73 ∙ Kinjutsu ôgi! ""Shiki fûjin""","Wed, Mar 3, 2004","Third Hokage decides to use the last resource at his disposal, the same technique that in the past has saved the village of the leaf, meanwhile Sasuke reaches Kankuro and Gaara, a new battle promises.",8.0,(910)
S1.E74 ∙ Kyôkaku! Gaara no shôtai,"Wed, Mar 10, 2004","the predestined duel between Shino of the clan Aburame and Kankuro begins, while Gaara regains his strength but ""something"" inside him is awakening.",8.0,(919)
S1.E75 ∙ Genkai o koete... Sasuke no ketsudan!!,"Wed, Mar 17, 2004","The battle between Gaara and Sasuke continues and the monster inside the sand boy seems to feed on his old wounds. To neutralize the powerful opponent, the pupil of Kakashi goes beyond his limits with devastating consequences.",7.9,(925)
S1.E76 ∙ Tsukiyo no ansatsusha,"Wed, Mar 24, 2004","Through Gaara's migraines we discover his tormented childhood and from where his illness of life began. Meanwhile, Naruto decides to face him to protect his best friends.",8.2,(986)
S1.E77 ∙ Hikari to yami Gaara to iu na,"Wed, Mar 31, 2004",Yashamaru explains the truth to Gaara about his existence; Naruto tries to protect his friends while contemplating his and Gaara's similarities.,8.0,(948)
S1.E78 ∙ Bakuhatsu! Korezo Naruto ninpouchô,"Wed, Apr 7, 2004",Naruto unleashes his handbook on Gaara and Gaara's true form is revealed.,9.0,(1.4K)
S1.E79 ∙ Rimitto bucchigiri!: Hikari to yami,"Wed, Apr 14, 2004","Once all women and children are evacuated, the Hidden Leaf Village launches its counter attack; Naruto defeats Gaara and Orochimaru has something precious taken from him.",9.1,(1.6K)
"S1.E80 ∙ Sandaime yo, towa ni......!!","Wed, Apr 21, 2004",The villagers of Konoha unhappily go to the funeral of The Third Hokage.,8.6,(1.1K)
S1.E81 ∙ Asagiri no kikyou,"Wed, Apr 28, 2004","While the people of Konoha are trying to rebuild the village and go back to their normal lives, the appearance of two mysterious man threatens to disturb the newly-found peace.",8.1,(909)
S1.E82 ∙ Sharingan vs Sharingan!!,"Wed, May 5, 2004","While Naruto prepares to go on a new adventure, Kakashi struggles to fight fellow Sharingan-user Itachi, former ninja of Konoha Village and member of a mysterious organization.",8.4,(1.1K)
"S1.E83 ∙ Oo, nô! Jiraiya no jonan, Naruto no sainan","Wed, May 12, 2004","Naruto starts his journey with Jiraiya, while Sasuke is angry and frustrated, because of the progress shown by his team-mate during the fight against Gaara.",7.7,(878)
S1.E84 ∙ Unare Chidori Hoero Sasuke,"Wed, May 19, 2004","Naruto is surprised by the arrival of the two Akatsuki members, while Sasuke thinks back to the day he saw his brother for the last time.",8.7,(1.1K)
"S1.E85 ∙ Orokanaru otouto yo urame, nikume!","Wed, May 26, 2004","The arrival of Jiraiya saves Naruto from Kisame's attack, while Sasuke fights his brother and learns the strength difference between them.",8.1,(906)
S1.E86 ∙ Shugyou kaishi Ore wa zettê tsuyokunaru!,"Wed, Jun 2, 2004","Naruto and Jiraiya continue their journey in search of Tsunade and decide to stop in a city to rest, there, the toads hermit teaches a new technique to Naruto.",7.1,(838)
S1.E87 ∙ Konjou!!! Warero mizufuusen,"Wed, Jun 9, 2004","Under Jiraiya's tutelage Naruto learns to train like a ninja and not a kid, by himself.",7.2,(825)
S1.E88 ∙ Konoha mâku to hitai ate,"Wed, Jun 16, 2004",Naruto progresses in his training as Jiraiya is closer to tracking down Tsunade; but Orochimaru is after her too.,7.4,(822)
S1.E89 ∙ Hamon,"Wed, Jun 23, 2004","Naruto continues with the third phase of his training to learn a new technique, while Orochimaru meets Tsunade and asks for her help.",7.3,(821)
S1.E90 ∙ Ikari bakuhatsu! Yurusanêttebayo,"Wed, Jul 7, 2004",Jiraiya and Naruto finally find Tsunade as she groans within herself contemplating Orochimaru's offer.,7.8,(842)
S1.E91 ∙ Shodai Hokage no isan Shi o yobu kubikazari,"Wed, Jul 14, 2004",Naruto learns Tsunade's story.,7.6,(836)
S1.E92 ∙ YES ka! NO ka! Tsunade no kaitô,"Wed, Jul 21, 2004","Naruto practices hard so he can win the necklace from Tsunade. Meanwhile, Tsunade is in a dilemma over Orochimaru's offer. Her hesitation to promptly refuse leads Kabuto to assume she'll take the offer.",7.6,(832)
S1.E93 ∙ Kôshô ketsuretsu!!,"Wed, Jul 28, 2004","Gripped by the desire to see Nawaki and Dan, Tsunade almost succumbs to Orochimaru's tempting offer. But seeing Nawaki and Dan's dreams carried on by Naruto, she breaks off the deal. Orochimaru is determined to heal his arm and focuses on exploiting Tsunade's weakness.",8.2,(882)
S1.E94 ∙ Kurae! Ikari no Rasengan,"Wed, Aug 4, 2004","Orochimaru and Kabuto use a summoning jutsu to call forth a giant snake. Still drugged and unable to fully use his chakra, Jiraiya summons little Gamakichi. Naruto also attempts a summoning jutsu, but ends up with Gamatatsu, Gamakichi's younger brother. Meanwhile, Kabuto has defeated Shizune. Naruto approaches Tsunade who is trembling in fear! Seething with anger, Naruto pulls himself up and tries to attack...",8.7,(1K)
S1.E95 ∙ The Fifth Hokage! A Life on the Line,"Sat, Jul 7, 2007","Naruto's ninja way is to never go back on his word. Naruto is seriously injured by Kabuto and hovers on the verge of death. Tsunade places her last shred of hope in Naruto who shares Nawaki and Dan's dreams. Tsunade has a fear of blood, but through her desire to protect Naruto, she is able to overcome it.",8.4,(919)
S1.E96 ∙ Sansukumi no tatakai,"Wed, Aug 11, 2004","Jiraiya, Tsunade and Orochimaru all release their summoning jutsu. And a fierce battle begins. Jiraiya and Tsunade join forces against Orochimaru. Despite her injuries, Tsunade desperately challenges Orochimaru. The toad, snake and slug engage!",8.3,(934)
S1.E97 ∙ Naruto no yukemuri chin dôchû,"Wed, Aug 18, 2004",Naruto help some guys make Tsunade pay her debt and Jiraiya spends the day in a spa waiting for pretty girls.,6.3,(708)
S1.E98 ∙ Tsunade's Warning: Ninja No More!,"Sat, Jul 28, 2007","Naruto asks Tsunade to heal Sasuke and Lee before she is installed as the Hokage. After examining Lee, she tells him to find a path other than of that of a shinobi.",7.1,(797)
S1.E99 ∙ Hi no ishi o tsugumono,"Wed, Sep 1, 2004",Tsunade gets to work as the fifth hokage and Konohamaru acts out of turn.,6.8,(750)
S1.E100 ∙ Nekketsu shitei no kizuna ~ otoko ga nindô o tsuranuku toki ~,"Wed, Sep 8, 2004",Guy sensei encourages Rock Lee by reminding him of his ninja way.,7.7,(846)
"S1.E101 ∙ Mitai, shiritai, tashikametai Kakashi sensei no sugao","Wed, Sep 15, 2004","Naruto, Sasuke and Sakura have always wanted to see what Kakashi looks like under his mask. The three do whatever they can to reveal his whole face.",7.4,(834)
S1.E102 ∙ Iza shinninmu Giri to jinjou to chakoku o sukue!,"Wed, Sep 22, 2004","Naruto, Sakura and Sasuke find out their newest mission will be without Kakashi who has responsibilities elsewhere. Tsunade sends them to the Tea Country to protect someone, but the details are vague at best. Along the way they meet Idate Morino who causes the group a lot of trouble, especially when they discover who they have to protect.",6.5,(633)
S1.E103 ∙ Naruto gekichin!? Inbou uzumaku daiunabara,"Wed, Sep 29, 2004",The trio continue to follow Idate while fending off attacks by three Shinobi sent to kill him. They find out later just how important winning this race is to the Wasabi clan's future.,6.4,(631)
S1.E104 ∙ Hashire Idate! Arashi o yobu haran no Nagishima!!,"Wed, Oct 13, 2004","Naruto and his squad manage to catch up to Idate, only to find him hurt and unconscious with Aoi nearby.",6.6,(621)
S1.E105 ∙ Gôru chokuzen! Raimei todoroku daigekitou,"Wed, Oct 20, 2004","With Naruto's help, Idate reaches the Modoroki Shrine - But just as he's about to cross the bridge, an old nemesis stands in his way.",6.8,(614)
S1.E106 ∙ Todokuka Idate! Shinnen no rasuto supâto,"Wed, Oct 27, 2004","Now that Sasuke and Sakura are trapped at the bottom of a cliff, it's up the Number One Knucklehead Ninja to defeat the malevolent Aoi and help Idate cross the finish line.",6.7,(624)
"S1.E107 ∙ Omae to tatakaitai! Tsui ni gekitotsu, Sasuke vs Naruto","Wed, Nov 3, 2004","Hospital bound and feeling his pride shattered, Sasuke finds there is only way to redeem himself: Battle Naruto. Meanwhile, the Ino-Shika-Cho Squad sit down for some barbecue to celebrate a special occasion.",8.2,(902)
